fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,label
7.4,0.7,0.0,1.9,76.0,11.0,34.0,9.978,3.51,0.56,9.4,4
7.8,0.88,0.0,2.6,98.0,25.0,67.0,9.968,3.2,0.68,9.8,4
7.8,0.76,0.04,2.3,92.0,15.0,54.0,997.0,3.26,0.65,9.8,1
11.2,0.28,0.56,1.9,75.0,17.0,60.0,998.0,3.16,0.58,9.8,1
7.4,0.7,0.0,1.9,76.0,11.0,34.0,9.978,3.51,0.56,9.4,4
7.4,0.66,0.0,1.8,75.0,13.0,40.0,9.978,3.51,0.56,9.4,4
7.9,0.6,0.06,1.6,69.0,15.0,59.0,9.964,3.3,0.46,9.4,4
7.3,0.65,0.0,1.2,65.0,15.0,21.0,9.946,3.39,0.47,10.0,4
7.8,0.58,0.02,2.0,73.0,9.0,18.0,9.968,3.36,0.57,9.5,4
7.5,0.5,0.36,6.1,71.0,17.0,102.0,9.978,3.35,0.8,10.5,4
6.7,0.58,0.08,1.8,97.0,15.0,65.0,9.959,3.28,0.54,9.2,4
7.5,0.5,0.36,6.1,71.0,17.0,102.0,9.978,3.35,0.8,10.5,4
5.6,615.0,0.0,1.6,89.0,16.0,59.0,9.943,3.58,0.52,9.9,2
7.8,0.61,0.29,1.6,114.0,9.0,29.0,9.974,3.26,1.56,9.1,4
8.9,0.62,0.18,3.8,176.0,52.0,145.0,9.986,3.16,0.88,9.2,4
8.9,0.62,0.19,3.9,0.17,51.0,148.0,9.986,3.17,0.93,9.2,4
8.5,0.28,0.56,1.8,92.0,35.0,103.0,9.969,3.3,0.75,10.5,4
8.1,0.56,0.28,1.7,368.0,16.0,56.0,9.968,3.11,1.28,9.3,3
7.4,0.59,0.08,4.4,86.0,6.0,29.0,9.974,3.38,0.5,9.0,4
7.9,0.32,0.51,1.8,341.0,17.0,56.0,9.969,3.04,1.08,9.2,3
8.9,0.22,0.48,1.8,77.0,29.0,60.0,9.968,3.39,0.53,9.4,4
7.6,0.39,0.31,2.3,82.0,23.0,71.0,9.982,3.52,0.65,9.7,4
7.9,0.43,0.21,1.6,106.0,10.0,37.0,9.966,3.17,0.91,9.5,4
8.5,0.49,0.11,2.3,84.0,9.0,67.0,9.968,3.17,0.53,9.4,4
