Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,class
0.675937,0.879232,0.901216,0.532417,0.888011,0.693917,0.207577,Cammeo
0.62533,0.714095,0.648087,0.670663,0.69198,0.646009,0.324564,Cammeo
0.623394,0.750066,0.734349,0.588124,0.789846,0.635636,0.538576,Cammeo
0.495071,0.524136,0.5128,0.581461,0.671227,0.49622,0.393954,Cammeo
0.628146,0.781992,0.709138,0.620288,0.758067,0.662711,0.40868,Cammeo
0.521739,0.622754,0.584436,0.564838,0.726665,0.532964,0.441332,Cammeo
0.722232,0.793157,0.661705,0.808242,0.603667,0.74077,0.253812,Cammeo
0.779264,0.884466,0.814414,0.74785,0.733647,0.80116,0.444057,Cammeo
0.614593,0.657743,0.548144,0.739809,0.575004,0.633703,0.418655,Cammeo
0.522267,0.593992,0.565445,0.58727,0.700086,0.528393,0.205994,Cammeo
0.649446,0.743744,0.714498,0.634973,0.751716,0.66148,0.349139,Cammeo
0.62269,0.72611,0.632237,0.696572,0.664497,0.645833,0.200204,Cammeo
0.737106,0.864238,0.8584,0.656627,0.806916,0.748681,0.776478,Cammeo
0.574283,0.636808,0.578421,0.649397,0.664071,0.589926,0.780466,Cammeo
0.523587,0.622221,0.611036,0.538909,0.758441,0.534195,0.605798,Cammeo
0.59831,0.728011,0.728346,0.554642,0.806654,0.611375,0.465916,Cammeo
0.674001,0.725999,0.733744,0.655986,0.74859,0.674402,0.197881,Cammeo
0.676553,0.727615,0.67488,0.71435,0.678218,0.682489,0.645979,Cammeo
0.52438,0.640975,0.660003,0.508389,0.802099,0.528217,0.27011,Cammeo
0.541102,0.642364,0.562226,0.633548,0.665136,0.567423,0.480243,Cammeo
0.560641,0.649039,0.620617,0.595571,0.726576,0.570236,0.175774,Cammeo
0.603239,0.682016,0.631127,0.647657,0.697614,0.617001,0.732525,Cammeo
0.512762,0.601338,0.583239,0.565516,0.725521,0.524086,0.817898,Cammeo
0.659391,0.735157,0.647998,0.733894,0.648125,0.676072,0.246044,Cammeo
0.619521,0.723923,0.712951,0.605498,0.769057,0.629395,0.203697,Cammeo
0.50044,0.564591,0.561521,0.545244,0.726811,0.502989,0.261265,Cammeo
0.76351,0.871975,0.763859,0.773198,0.690767,0.793337,0.415833,Cammeo
0.497448,0.58288,0.57685,0.538578,0.740022,0.501758,0.286399,Cammeo
0.508449,0.601777,0.598792,0.53585,0.753872,0.515559,0.777388,Cammeo
0.650766,0.707741,0.605706,0.740408,0.615575,0.671062,0.667109,Cammeo
0.491023,0.574726,0.542768,0.555607,0.708587,0.504483,0.212865,Cammeo
0.516018,0.637991,0.616789,0.545812,0.757045,0.528481,0.595731,Cammeo
0.752772,0.783375,0.648628,0.858596,0.556828,0.767757,0.297002,Cammeo
0.376342,0.507647,0.528236,0.393649,0.808774,0.394603,0.749578,Cammeo
0.609752,0.616992,0.589758,0.679976,0.64929,0.612957,0.588544,Cammeo
0.594526,0.650386,0.559184,0.719093,0.599203,0.610408,0.248977,Cammeo
0.604119,0.681409,0.622196,0.656161,0.686466,0.618407,0.485895,Cammeo
0.604119,0.691676,0.653625,0.634974,0.719036,0.610759,0.428763,Cammeo
0.613712,0.639633,0.583156,0.703596,0.627578,0.622802,0.313133,Cammeo
0.548231,0.730557,0.815591,0.425322,0.9105,0.552655,0.146763,Cammeo
0.459162,0.558343,0.534675,0.517132,0.730543,0.471343,0.235329,Cammeo
0.483718,0.67215,0.724617,0.411507,0.884423,0.51846,0.324532,Cammeo
0.607728,0.706912,0.716262,0.579623,0.786285,0.615594,0.818442,Cammeo
0.565217,0.606868,0.502259,0.713324,0.561353,0.582894,0.321158,Cammeo
