RandomSeed,Nr. Cluster,Eps,Linkage,Threshold,Max. Iter,Min Samples,ID,Dataset,Cluster,Time Taken (seg),Accuracy Score,Purity Score,Adjusted Rand Index,Jaccard Score
10,1,,,,100,,1,Rice,K-means,0.09462380409240723,0.9146981627296588,0.9146981627296588,0.6876273678477652,0.8428053204353083
,1,0.1,,,,,2,Rice,DBScan,0.08660244941711426,0.5721784776902887,0.5721784776902887,0.002227465242198697,0.4007352941176471
,1,,Ward,,,,3,Rice,Agglomerative Clustering - Ward,0.3174407482147217,0.9173228346456693,0.9173228346456692,0.696493232388751,0.8472727272727273
10,1,,,,,,4,Rice,Spectral Clustering,2.335451602935791,0.9118110236220472,0.9118110236220471,0.6780218657023701,0.8379160636758322
,1,,,0.1,,,5,Rice,Birch,0.08834981918334961,0.8939632545931758,0.8939632545931759,0.6205433546814682,0.8082581869957285
,,,,,100,,6,Rice,Mean Shift,28.483548879623413,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
10,,,,,100,,7,Rice,Affinity Propagation,18.994182348251343,0.9204724409448819,0.9204724409448819,0.7069971559891127,0.8526622902990518
,,0.1,,,,0.1,8,Rice,Optics,2.644172191619873,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
57,1.5,,,,150,,9,Rice,K-means,0.0,0.905249343832021,0.9052493438320209,0.6567649468783516,0.8269000239750659
,1.5,0.5,,,,,10,Rice,DBScan,0.38800764083862305,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
,1.5,,Complete,,,,11,Rice,Agglomerative Clustering - Complete,0.26557159423828125,0.7724409448818897,0.7724409448818897,0.2922210456903221,0.6292495189223861
57,1.5,,,,,,12,Rice,Spectral Clustering,1.4921965599060059,0.8073490813648294,0.8073490813648294,0.3752463887520803,0.6769366197183099
,1.5,,,0.5,,,13,Rice,Birch,0.062485456466674805,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
,,,,,150,,14,Rice,Mean Shift,27.760831117630005,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
57,,,,,150,,15,Rice,Affinity Propagation,20.43133568763733,0.9204724409448819,0.9204724409448819,0.7069971559891127,0.8526622902990518
,,0.5,,,,0.3,16,Rice,Optics,2.794874906539917,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
965,2,,,,300,,17,Rice,K-means,0.015621662139892578,0.9146981627296588,0.9146981627296588,0.6876319921445933,0.8428053204353083
,2,1.0,,,,,18,Rice,DBScan,0.3210620880126953,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
,2,,Average,,,,19,Rice,Agglomerative Clustering - Average,0.2826545238494873,0.5729658792650919,0.5729658792650919,0.0005329938078283553,0.40150818466065846
965,2,,,,,,20,Rice,Spectral Clustering,1.6326520442962646,0.8451443569553806,0.8451443569553805,0.4762997016137145,0.7318181818181818
,2,,,1.0,,,21,Rice,Birch,0.0624849796295166,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
,,,,,300,,22,Rice,Mean Shift,27.765809297561646,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
965,,,,,300,,23,Rice,Affinity Propagation,18.89796257019043,0.9204724409448819,0.9204724409448819,0.7069971559891127,0.8526622902990518
,,1.0,,,,0.5,24,Rice,Optics,5.0769336223602295,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
7821,3,,,,500,,25,Rice,K-means,0.015621662139892578,0.8979002624671916,0.8979002624671916,0.6331908674552966,0.8147177899499881
,3,1.5,,,,,26,Rice,DBScan,0.20307183265686035,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
,3,,Single,,,,27,Rice,Agglomerative Clustering - Single,0.09374523162841797,0.5729658792650919,0.5729658792650919,0.0005329938078283553,0.40150818466065846
7821,3,,,,,,28,Rice,Spectral Clustering,1.5621311664581299,0.8632545931758531,0.8632545931758531,0.5276845386357812,0.7594089124913415
,3,,,1.5,,,29,Rice,Birch,0.04686403274536133,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
,,,,,500,,30,Rice,Mean Shift,29.542940616607666,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
7821,,,,,500,,31,Rice,Affinity Propagation,22.407143115997314,0.9204724409448819,0.9204724409448819,0.7069971559891127,0.8526622902990518
,,1.5,,,,0.8,32,Rice,Optics,5.464097738265991,0.5721784776902887,0.5721784776902887,0.0,0.4007352941176471
10,1,,,,100,,33,Yeast,K-means,0.015622854232788086,0.5050709939148073,0.5050709939148073,0.2368723492328982,0.3378561736770692
,1,0.1,,,,,34,Yeast,DBScan,0.031218767166137695,0.35767410412440837,0.35767410412440837,0.047153599918029206,0.21778509674763277
,1,,Ward,,,,35,Yeast,Agglomerative Clustering - Ward,0.031238555908203125,0.5070993914807302,0.5070993914807301,0.1940050259966886,0.33967391304347827
10,1,,,,,,36,Yeast,Spectral Clustering,0.3280472755432129,0.5469912102772143,0.5469912102772143,0.20426144772163093,0.37645416472778037
,1,,,0.1,,,37,Yeast,Birch,0.04686403274536133,0.4949290060851927,0.4949290060851927,0.2068319240712309,0.3288409703504043
,,,,,100,,38,Yeast,Mean Shift,3.7858798503875732,0.33400946585530766,0.33400946585530766,0.03498613866480894,0.200487012987013
10,,,,,100,,39,Yeast,Affinity Propagation,1.6381380558013916,0.6004056795131846,0.6004056795131846,0.2628688837200687,0.4289855072463768
,,0.1,,,,0.1,40,Yeast,Optics,0.7694497108459473,0.31304935767410413,0.31304935767410413,0.0,0.18557114228456914
57,1.5,,,,150,,41,Yeast,K-means,0.015620231628417969,0.5409060175794456,0.5409060175794457,0.20621016288185917,0.3707136237256719
,1.5,0.5,,,,,42,Yeast,DBScan,0.11792182922363281,0.3204868154158215,0.3204868154158215,0.011618570262589301,0.19082125603864733
,1.5,,Complete,,,,43,Yeast,Agglomerative Clustering - Complete,0.03123950958251953,0.4874915483434753,0.48749154834347536,0.19260995219673693,0.3223066607063031
57,1.5,,,,,,44,Yeast,Spectral Clustering,0.4061553478240967,0.5125084516565247,0.5125084516565246,0.17967843908631398,0.34454545454545454
,1.5,,,0.5,,,45,Yeast,Birch,0.03124260902404785,0.31304935767410413,0.31304935767410413,0.0,0.18557114228456914
,,,,,150,,46,Yeast,Mean Shift,3.5460422039031982,0.33400946585530766,0.33400946585530766,0.03498613866480894,0.200487012987013
57,,,,,150,,47,Yeast,Affinity Propagation,1.671482801437378,0.6004056795131846,0.6004056795131846,0.2628688837200687,0.4289855072463768
,,0.5,,,,0.3,48,Yeast,Optics,0.8122994899749756,0.31304935767410413,0.31304935767410413,0.0,0.18557114228456914
965,2,,,,300,,49,Yeast,K-means,0.01561594009399414,0.5537525354969574,0.5537525354969575,0.25085320276332845,0.38288920056100983
,2,1.0,,,,,50,Yeast,DBScan,0.07810282707214355,0.31304935767410413,0.31304935767410413,0.0,0.18557114228456914
,2,,Average,,,,51,Yeast,Agglomerative Clustering - Average,0.03124260902404785,0.36578769438810005,0.36578769438810005,0.10209046672385051,0.2238311956971452
965,2,,,,,,52,Yeast,Spectral Clustering,0.4686307907104492,0.5240027045300879,0.5240027045300878,0.1966975185983344,0.3550160329821347
,2,,,1.0,,,53,Yeast,Birch,0.015621185302734375,0.31304935767410413,0.31304935767410413,0.0,0.18557114228456914
,,,,,300,,54,Yeast,Mean Shift,3.514798879623413,0.33400946585530766,0.33400946585530766,0.03498613866480894,0.200487012987013
965,,,,,300,,55,Yeast,Affinity Propagation,1.6246442794799805,0.6004056795131846,0.6004056795131846,0.2628688837200687,0.4289855072463768
,,1.0,,,,0.5,56,Yeast,Optics,6.935866832733154,0.31304935767410413,0.31304935767410413,0.0,0.18557114228456914
7821,3,,,,500,,57,Yeast,K-means,0.015622377395629883,0.572684246112238,0.572684246112238,0.25915134080626046,0.4012316437707248
,3,1.5,,,,,58,Yeast,DBScan,0.04686450958251953,0.31304935767410413,0.31304935767410413,0.0,0.18557114228456914
